"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Conteudo_Prejudicial","","0","0","4","0","0"
"","Ciencias","","0","0","4","0","0"
"","Matematica","","0","0","3","0","0"
"","Logica_Avancada","","0","0","2","0","0"
"","Borda_Numerica","","0","0","1","0","0"
"","Seguranca","","0","0","1","0","0"
"","Dados_Pessoais","","0","0","1","0","0"
"","Alucinacao_Critica","","0","0","1","0","0"
"","Geografia","","0","0","3","0","0"
"","Matematica_Avancada","","0","0","3","0","0"
"","Logica","","0","0","2","0","0"
"","Prompt_Injection","","0","0","2","0","0"
"","Historia","","0","0","2","0","0"
"","Alucinacao","","0","0","1","0","0"
"","Linguagem","","0","0","1","0","0"
